0,1,2,3,4
Fair Y110,210,256,MARC JACOBS     Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035699
Fair Y130,200,210,MARC JACOBS     Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035707
Fair R150,196,200,MARC JACOBS     Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035715
Light Y210,192,196,MARC JACOBS     Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035723
Light YR230,188,192,MARC JACOBS     Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035731
Light R250,184,188,MARC JACOBS  Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035749
Light Y270,180,184,MARC JACOBS  Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035756
Medium R300,176,180,MARC JACOBS  Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035764
Medium R310,172,176,MARC JACOBS  Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035772
Medium Y320,168,172,MARC JACOBS     Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035780
Medium R330,164,168,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035798
Medium Y340,160,164,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035806
Medium R350,156,160,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035814
Medium Y360,152,156,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035822
Medium Y370,148,152,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035830
Medium R380,144,148,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035848
Medium Y390,140,144,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035855
Medium Y400,136,140,MARC JACOBS      Shameless Youthful Look Foundation,https://www.marcjacobsbeauty.com/shameless/youthful-look-24-hour-foundation-spf-25/MJ30017.html?dwvar_MJ30017_color=MJ3098
Medium Y420,132,136,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035871
Medium Y440,128,132,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035889
Medium R460,124,128,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035897
Medium Y470,120,124,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035905
Tan Y480,116,120,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035913
Tan R490,112,116,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035921
Deep Y500,108,112,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035939
Deep R530,104,108,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035947
Very Deep R550,100,104,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035954
Very Deep Y570,90,100,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035962
Deep R590,0,90,MARC JACOBS      Shameless Youthful Look Foundation,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products%20grid:p427500:product&skuId=2035970
